r: 177, g: 133, b: 96
r: 166, g: 122, b: 84
r: 166, g: 125, b: 84
r: 172, g: 131, b: 90
r: 174, g: 130, b: 92
r: 189, g: 145, b: 107
r: 198, g: 157, b: 116
r: 186, g: 145, b: 104
r: 184, g: 140, b: 103
r: 189, g: 145, b: 107
r: 188, g: 147, b: 106
r: 165, g: 124, b: 83
r: 174, g: 130, b: 92
r: 179, g: 136, b: 98
r: 146, g: 105, b: 65
r: 148, g: 106, b: 66
r: 193, g: 155, b: 123
r: 122, g: 84, b: 52
r: 116, g: 79, b: 44
r: 196, g: 158, b: 123
r: 185, g: 147, b: 115
r: 125, g: 87, b: 54
r: 154, g: 116, b: 81
r: 198, g: 160, b: 125
r: 128, g: 90, b: 57
r: 170, g: 132, b: 99
r: 169, g: 131, b: 96
r: 142, g: 105, b: 69
r: 150, g: 112, b: 80
r: 170, g: 132, b: 99
r: 168, g: 130, b: 95
r: 161, g: 123, b: 88
r: 202, g: 157, b: 113
r: 169, g: 124, b: 80
r: 116, g: 70, b: 29
r: 182, g: 137, b: 95
r: 204, g: 162, b: 122
r: 141, g: 99, b: 59
r: 172, g: 132, b: 95
r: 212, g: 173, b: 136
r: 155, g: 118, b: 80
r: 151, g: 114, b: 77
r: 193, g: 157, b: 124
r: 164, g: 128, b: 95
r: 165, g: 134, b: 101
r: 205, g: 174, b: 141
r: 162, g: 130, b: 100
r: 148, g: 116, b: 86
r: 174, g: 141, b: 104
r: 163, g: 131, b: 94
r: 146, g: 111, b: 75
r: 178, g: 143, b: 107
r: 163, g: 131, b: 94
r: 137, g: 104, b: 67
r: 170, g: 134, b: 101
r: 160, g: 125, b: 91
r: 159, g: 126, b: 89
r: 197, g: 164, b: 128
r: 192, g: 156, b: 123
r: 168, g: 133, b: 99
r: 187, g: 154, b: 117
r: 194, g: 161, b: 124
r: 165, g: 130, b: 94
r: 142, g: 107, b: 71
r: 206, g: 173, b: 139
r: 179, g: 145, b: 111
r: 159, g: 125, b: 93
r: 204, g: 171, b: 139
r: 180, g: 147, b: 112
r: 102, g: 69, b: 34
r: 135, g: 102, b: 70
r: 204, g: 171, b: 139
r: 188, g: 155, b: 120
r: 167, g: 134, b: 99
r: 246, g: 213, b: 181
r: 169, g: 136, b: 104
r: 110, g: 77, b: 42
r: 188, g: 155, b: 120
r: 170, g: 137, b: 105
r: 142, g: 109, b: 77
r: 150, g: 121, b: 89
r: 192, g: 163, b: 131
r: 165, g: 134, b: 103
r: 159, g: 128, b: 98
r: 166, g: 132, b: 100
r: 144, g: 110, b: 78
r: 164, g: 126, b: 94
r: 178, g: 140, b: 108
r: 139, g: 101, b: 64
r: 176, g: 139, b: 101
r: 162, g: 120, b: 82
r: 156, g: 114, b: 76
r: 181, g: 137, b: 97
r: 139, g: 95, b: 55
r: 108, g: 62, b: 23
r: 159, g: 113, b: 74
r: 200, g: 165, b: 127
r: 149, g: 114, b: 76
r: 161, g: 124, b: 86
r: 205, g: 168, b: 130
r: 152, g: 117, b: 79
r: 137, g: 102, b: 64
r: 190, g: 153, b: 115
r: 150, g: 113, b: 76
r: 142, g: 107, b: 69
r: 172, g: 137, b: 99
r: 185, g: 148, b: 110
r: 134, g: 97, b: 59
r: 134, g: 99, b: 60
r: 164, g: 129, b: 91
r: 144, g: 107, b: 70
r: 151, g: 114, b: 77
r: 161, g: 132, b: 83
r: 168, g: 139, b: 90
r: 164, g: 129, b: 81
